"source","title","author","genre","price_usd","rating","ratings_count","year","language","scraped_at","snapshot_id"
"Open Library","The Razor's Edge","William Somerset Maugham","biography",NA,3.93,23,1944,"chi",2025-11-01 09:00:00,1
"Open Library","The untethered soul","Michael A. Singer","self_help",NA,4.43,21,2007,"eng",2025-11-01 09:00:00,1
"Open Library","Winnie-the-Pooh","A. A. Milne","children",NA,4.18,74,1925,"jpn",2025-11-01 09:00:00,1
"iTunes Store","Marked: A YA Paranormal Romance Novel (Volume 11 of the Reflections Books)","Dean Murray","romance novel",5.06,4.46,43,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Whistling Past the Graveyard","Susan Crandall","historical fiction",13.53,4.44,265,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Berenstain Bears Give Thanks","Jan Berenstain & Mike Berenstain","childrens fiction",2.85,4.97,6,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Beginner's Guide to World History","George Fisher","world history",6.05,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Magician's Nephew","C. S. Lewis","horror",NA,4.08,106,1955,"ice",2025-11-01 09:00:00,1
"Open Library","Goals! How to Get Everything You Want--Faster Than You Ever Thought Possible","Brian Tracy","self_help",NA,3.63,6,2003,"eng",2025-11-01 09:00:00,1
"iTunes Store","Cooking con Claudia","Claudia Regalado","cooking",13.04,4.6,15,NA,NA,2025-11-01 09:00:00,1
"Open Library","Schachnovelle","Stefan Zweig","historical_fiction",NA,4.02,31,1943,"por",2025-11-01 09:00:00,1
"Google Books","Thus Spake Zarathustra","Friedrich Nietzsche","Fiction",NA,NA,NA,2023,"en",2025-11-01 09:00:00,1
"Open Library","Elon Musk","Ashlee Vance","business",NA,4.14,160,2013,"pol",2025-11-01 09:00:00,1
"iTunes Store","The Adventure Time Encyclopaedia (Encyclopedia)","Martin Olson, Mahendra Singh, Tony Millionaire, Celeste Moreno, Renee French, Aisleen Romano, Sean Tejaratchi & Pendleton Ward","adventure",9.73,4.58,54,NA,NA,2025-11-01 09:00:00,1
"Open Library","Poems by John Keats","John Keats","poetry",NA,4.22,5,1800,"eng",2025-11-01 09:00:00,1
"Open Library","Whose Body?","Dorothy L. Sayers","thriller",NA,4.37,28,1923,"eng",2025-11-01 09:00:00,1
"Open Library","Carmilla","Sheridan Le Fanu","fiction",NA,3.88,59,1871,"fre",2025-11-01 09:00:00,1
"Google Books","Shaker Life, Art, and Architecture","Scott T. Swank","Architecture",NA,NA,NA,1999,"en",2025-11-01 09:00:00,1
"Open Library","The food of the gods and how it came to earth","H. G. Wells","science_fiction",NA,3.87,16,1900,"eng",2025-11-01 09:00:00,1
"iTunes Store","The Year's Best Science Fiction: Fifth Annual Collection","Gardner Dozois","science fiction",15.48,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","The 4-Hour Workweek","Timothy Ferriss","business",NA,3.76,91,2006,"chi",2025-11-01 09:00:00,1
"Open Library","Vite de' più eccellenti pittori, scultori et architettori","Giorgio Vasari","art",NA,3.02,4,1759,"eng",2025-11-01 09:00:00,1
"Google Books","The Lady from the Sea","Henrik Ibsen","Poetry",NA,NA,NA,2024,"en",2025-11-01 09:00:00,1
"iTunes Store","The Best of Artisan Bread in Five Minutes a Day","Jeff Hertzberg, MD & Zoe Francois","art design",16.09,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Adventure-Pom!","Sean Dryden & Jerry Seguin","adventure",1,4.52,10,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Road to Oz","L. Frank Baum","fiction",NA,3.31,8,1909,"eng",2025-11-01 09:00:00,1
"iTunes Store","Tenth Legion","Tom Kelly","sports outdoors",9.74,4.42,72,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Quick And Easy Cooking","Monica Ivet","cooking",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Lost connections","Johann Hari","self_help",NA,4.34,7,2018,"eng",2025-11-01 09:00:00,1
"Open Library","A Passage to India","E. M. Forster","fiction",NA,3.52,16,1924,"fre",2025-11-01 09:00:00,1
"Open Library","The Power of Positive Thinking","Norman Vincent Peale","self_help",NA,4.04,124,1952,"chi",2025-11-01 09:00:00,1
"iTunes Store","50+ classic  horror fiction by Ambrose Bierce， Bram Stoker，Edgar Allan Poe，Algernon Blackwood，M. R. James，William Hope Hodgson，Etc.","Ambrose Bierce","horror fiction",0.98,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Dracula","Bram Stoker","science_fiction",NA,3.95,182,1897,"por",2025-11-01 09:00:00,1
"Open Library","Appointment with Death","Agatha Christie","fiction",NA,3.54,14,1938,"heb",2025-11-01 09:00:00,1
"iTunes Store","The Dunwich Horror","H. P. Lovecraft","horror fiction",0,4.05,230,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","A collection of Historical Fiction","Nadia Welsh-Boucard","historical fiction",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Lost World","Arthur Conan Doyle","fiction",NA,4.01,44,1900,"chi",2025-11-01 09:00:00,1
"iTunes Store","Horror Fiction 1","Bram Stoker & Vincent Willem van Gogh","horror fiction",0.98,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Tax administration","United States. General Accounting Office","business",NA,5,1,1986,"eng",2025-11-01 09:00:00,1
"iTunes Store","Six Centuries of English Poetry","James Baldwin","poetry",0,3.53,17,NA,NA,2025-11-01 09:00:00,1
"Open Library","Deathwatch","Robb White","sports",NA,4.87,3,1972,"eng",2025-11-01 09:00:00,1
"Open Library","The Napoleon of Notting Hill","Gilbert Keith Chesterton","fantasy",NA,4.54,7,1904,"spa",2025-11-01 09:00:00,1
"Google Books","The Mask of Cthulhu","August Derleth","Fiction",NA,NA,NA,1958,"en",2025-11-01 09:00:00,1
"Open Library","Come as you are","Emily Nagoski","self_help",NA,4.38,6,2015,"eng",2025-11-01 09:00:00,1
"Open Library","The Canterville Ghost","Oscar Wilde","children",NA,4.52,7,1887,"rus",2025-11-01 09:00:00,1
"Open Library","The Last Battle","C. S. Lewis","travel",NA,3.94,72,1956,"pol",2025-11-01 09:00:00,1
"iTunes Store","From the Poetry of Sumer","Samuel Noah Kramer","poetry",16.25,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Away Boarders! (A World War 2 Naval Adventure)","J.E. Macdonnell","adventure",4.19,4.61,5,NA,NA,2025-11-01 09:00:00,1
"Open Library","Bambi","Felix Salten","children",NA,3.57,12,1923,"fre",2025-11-01 09:00:00,1
"Open Library","Tom Clancy's Net Force","Tom Clancy","sports",NA,3.57,3,1998,"spa",2025-11-01 09:00:00,1
"Open Library","Alice's Adventures in Wonderland","Lewis Carroll","philosophy",NA,4.1,217,1865,"yid",2025-11-01 09:00:00,1
"iTunes Store","Church Summer Cramp","Mike Thaler","childrens fiction",1.99,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Google Books","My Favorite Recipes","Henrietta Groth Schmidt","Cooking",NA,NA,NA,1951,"en",2025-11-01 09:00:00,1
"Google Books","Indigenous Psychologies","Ŭi-ch'ŏl Kim, Uichol Kim, John W. Berry","Psychology",NA,NA,NA,1993,"en",2025-11-01 09:00:00,1
"Open Library","A dictionary of the English language","Samuel Johnson","travel",NA,2.43,2,1747,"eng",2025-11-01 09:00:00,1
"Open Library","The Great God Pan","Arthur Machen","horror",NA,3.51,41,1894,"dut",2025-11-01 09:00:00,1
"iTunes Store","The Art of Dragon Age: The Veilguard","Bioware","art design",31.28,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","India Travel Guide","Wolfgang Sladkowski & Wanirat Chanapote","travel",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Artificial Intelligence in Accounting, Auditing and Finance","Michael Adelowotan & Collins Achepsah Leke","business finance",78.77,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Deal Me In","Cheri Allan","romance novel",5.13,4.4,30,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Peter Reinhart's Artisan Breads Every Day","Peter Reinhart","art design",13.23,3.6,14,NA,NA,2025-11-01 09:00:00,1
"Google Books","Space, Cosmology and Fiction","Joan Solomon","Literary Criticism",NA,NA,NA,1983,"en",2025-11-01 09:00:00,1
"iTunes Store","50 Classic Horror Books","H. P. Lovecraft, Ann Radcliffe, J. Sheridan Le Fanu & Bram Stoker","horror fiction",2.99,3.48,26,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Truth About Depression: The New ""Feel Good"" Self-Help Book To Reclaim Your Happiness, Energy And Motivation","Mindwave Labs","self help",0,4.12,123,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","My Big Fat Zombie Goldfish","Mo O'Hara","childrens fiction",4.85,4.59,52,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Illustrated Man","Ray Bradbury","horror",NA,4,39,1951,"dut",2025-11-01 09:00:00,1
"iTunes Store","John Bunyan's Poetry","John Bunyan","poetry",0.98,4.93,6,NA,NA,2025-11-01 09:00:00,1
"Open Library","Utopia","Thomas More","philosophy",NA,3.37,20,1518,"ger",2025-11-01 09:00:00,1
"iTunes Store","Pirate's Bounty: A Time Travel Adventure","Victoria Rush","adventure",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Brood of the Witch-Queen","Sax Rohmer","historical_fiction",NA,4.5,5,1924,"eng",2025-11-01 09:00:00,1
"iTunes Store","The Cutthroat","Clive Cussler & Justin Scott","adventure",10.46,4.61,289,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Harry Truman's Excellent Adventure","Matthew Algeo","adventure",13.48,4.1,21,NA,NA,2025-11-01 09:00:00,1
"Open Library","Kidnapped","Robert Louis Stevenson","thriller",NA,3.73,18,1886,"per",2025-11-01 09:00:00,1
"iTunes Store","Redemption Falls","Joseph O'Connor","historical fiction",13.83,3.4,5,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Lies of Locke Lamora","Scott Lynch","fantasy",3.95,4.53,1515,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Mystery of the Blue Train","Agatha Christie","mystery",NA,3.89,27,1928,"rus",2025-11-01 09:00:00,1
"Open Library","Third Girl","Agatha Christie","mystery",NA,3.55,6,1966,"fre",2025-11-01 09:00:00,1
"iTunes Store","The Edge Chronicles: Freeglader","Paul Stewart & Chris Riddell","childrens fiction",8.66,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Science Fiction Archive #4","Fritz Leiber, Robert Sheckley, H. B. Fyfe, Jerome Bixby, Alan Nourse, Evelyn E. Smith & Rey Bertran","science fiction",1.96,4.57,7,NA,NA,2025-11-01 09:00:00,1
"Open Library","Du côté de chez Swann","Marcel Proust","historical_fiction",NA,3.89,9,1908,"por",2025-11-01 09:00:00,1
"Open Library","Anne of the Island","Lucy Maud Montgomery","history",NA,3.78,16,1826,"ger",2025-11-01 09:00:00,1
"iTunes Store","The Year's Best Science Fiction: Nineteenth Annual Collection","Gardner Dozois","science fiction",11.4,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Metamorphosis","Franz Kafka","science_fiction",NA,4.11,146,1915,"por",2025-11-01 09:00:00,1
"Open Library","White Fang","Jack London","historical_fiction",NA,4.1,65,1905,"por",2025-11-01 09:00:00,1
"iTunes Store","The Pickaxe Killers: Karla Faye Tucker & Daniel Garrett (A True Crime Short)","R. Barri Flowers","true crime",3.79,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","कामसूत्र","Vatsyāyana","art",NA,3.83,47,1883,"mar",2025-11-01 09:00:00,1
"Google Books","Fiction in American Magazines Before 1800","Edward W. R. Pitcher","Language Arts & Disciplines",NA,NA,NA,1993,"en",2025-11-01 09:00:00,1
"iTunes Store","A Short History of Greek Philosophy","John Marshall","philosophy",0,4.1,11,NA,NA,2025-11-01 09:00:00,1
"Open Library","Jenseits von Gut und Böse","Friedrich Nietzsche","history",NA,4.38,22,1885,"fre",2025-11-01 09:00:00,1
"iTunes Store","AP® World History: Modern Crash Course, For the New 2020 Exam, Book + Online","Jay P. Harmon","world history",11.55,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Hotwife Adventure Prologue","Karly Violet","adventure",0,3.94,16,NA,NA,2025-11-01 09:00:00,1
"Google Books","The Prophet","Kahlil Gibran","Fiction",NA,5,1,2002,"en",2025-11-01 09:00:00,1
"iTunes Store","The Psychology of The Soul","Angel Cusick","psychology",3.99,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Finland Travel Guide","Lonely Planet","travel",16.72,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Philosophy of Language","Scott Soames","philosophy",19.8,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Lord of Chaos","Robert Jordan","fantasy",9.84,4.53,1499,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Studies in Philosophical Realism in Art, Design and Education","Neil C. M. Brown","art design",102.33,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","A Tale of Two Cities","Charles Dickens","history",NA,3.73,198,1800,"pan",2025-11-01 09:00:00,1
"iTunes Store","Spectacular Nail Art","Larit Levy","art design",8.27,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Art and Making of Arcane","Elisabeth Vincentelli & Insight Editions","art design",19.81,4.96,26,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Story of the World: History for the Classical Child: Volume 1: Ancient Times: From the Earliest Nomads to the Last Roman Emperor, Revised Edition","Susan Wise Bauer","world history",9.88,4.09,17,NA,NA,2025-11-01 09:00:00,1
"Google Books","Death by Dickens","Anne Perry","Fiction",NA,NA,NA,2004,"en",2025-11-01 09:00:00,1
"iTunes Store","Dictionary for Business & Finance","John V. Terry","business finance",27.26,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Luathara: A Young Adult Dark Fae Romance Novel","Jenna Elizabeth Johnson","romance novel",7.17,4.37,142,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Art of War","孙武","art",NA,4.13,157,1900,"fre",2025-11-01 09:00:00,1
"Google Books","Dictionary of Greek and Roman Biography and Mythology: Earinus-Nyx","William Smith","Biography",NA,NA,NA,1846,"en",2025-11-01 09:00:00,1
"Open Library","Utilitarianism","John Stuart Mill","philosophy",NA,4.15,5,1863,"rus",2025-11-01 09:00:00,1
"Google Books","Sport in Asian Society","Fan Hong, J.A. Mangan","Sports & Recreation",NA,NA,NA,2005,"en",2025-11-01 09:00:00,1
"Open Library","A Cook's Tour","Anthony Bourdain","cookbook",NA,4.3,4,2001,"eng",2025-11-01 09:00:00,1
"iTunes Store","Philosophy Bites Back","David Edmonds & Nigel Warburton","philosophy",11.32,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Writing Successful Self-Help and How-To Books","Jean Marie Stine","self help",17.17,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Google Books","Content-Based Chapter Books Fiction (Science: Planet Patrol): Antarctic Adventure","Rebecca L. Johnson","Language Arts & Disciplines",NA,NA,NA,2007,"en",2025-11-01 09:00:00,1
"Open Library","Brood of the Witch-Queen","Sax Rohmer","fiction",NA,4.67,5,1924,"eng",2025-11-01 09:00:00,1
"Open Library","The Great Gatsby","F. Scott Fitzgerald","historical_fiction",NA,4.01,198,1920,"heb",2025-11-01 09:00:00,1
"iTunes Store","Finance and the Good Society","Robert J. Shiller","business finance",18.14,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","On Writing","Stephen King","horror",NA,4.21,80,1999,"pol",2025-11-01 09:00:00,1
"Open Library","The Haunted Hotel","Wilkie Collins","horror",NA,3.07,3,1878,"eng",2025-11-01 09:00:00,1
"iTunes Store","Snowed in Love","Amanda Siegrist","romance novel",6.96,4.09,41,NA,NA,2025-11-01 09:00:00,1
"Open Library","Brood of the Witch-Queen","Sax Rohmer","horror",NA,4.58,5,1924,"eng",2025-11-01 09:00:00,1
"Open Library","Bleak House","Charles Dickens","historical_fiction",NA,3.87,17,1850,"fre",2025-11-01 09:00:00,1
"Open Library","Last Child in the Woods","Richard Louv","sports",NA,3.05,1,2005,"eng",2025-11-01 09:00:00,1
"iTunes Store","International Money and Finance","Michael Melvin & Stefan C. Norrbin","business finance",97.61,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Google Books","Dreams of Fear","S. T. Joshi, Steven J. Mariconda","Poetry",NA,NA,NA,2012,"en",2025-11-01 09:00:00,1
"iTunes Store","AP World History Exam Preparation","BookCaps","world history",3.01,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Meditations","Marcus Aurelius","philosophy",NA,4.03,137,1626,"ukr",2025-11-01 09:00:00,1
"Open Library","Robinson Crusoe","Daniel Defoe","travel",NA,3.92,25,1686,"yid",2025-11-01 09:00:00,1
"Open Library","The Amber Spyglass","Philip Pullman","horror",NA,3.84,108,1999,"por",2025-11-01 09:00:00,1
"Open Library","Le petit prince","Antoine de Saint-Exupéry","fantasy",NA,4.28,221,1943,"yid",2025-11-01 09:00:00,1
"Open Library","Marketing","Philip Kotler","business",NA,5,1,1987,"dut",2025-11-01 09:00:00,1
"iTunes Store","Sandstorm Box Set: The Complete Dystopian Science Fiction Series","T.W. Piperbrook","science fiction",9.78,4.12,17,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Rome Travel Guide","Lonely Planet","travel",14.35,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Man Who Knew Too Much","Gilbert Keith Chesterton","mystery",NA,3.87,17,1922,"eng",2025-11-01 09:00:00,1
"iTunes Store","Psychology","Matt Baier","psychology",0,4.47,37,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Innocents Abroad","Mark Twain","history",NA,3.52,7,1800,"eng",2025-11-01 09:00:00,1
"iTunes Store","Claiming the Alpha's Daughter","Bella Moondragon","fantasy",0,4.48,64,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Esoteric Psychology Vol II","Alice A. Bailey","psychology",10.26,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Artisanal Kitchen: Perfect Pizza at Home","Andrew Feinberg, Francine Stephens & Melissa Clark","art design",10.08,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The World from 1000 BCE to 300 CE","Stanley M. Burstein","world history",23.41,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Keeping 13","Chloe Walsh","sports",NA,4.77,4,2020,"eng",2025-11-01 09:00:00,1
"Open Library","Anthem","Ayn Rand","psychology",NA,3.55,51,1936,"ger",2025-11-01 09:00:00,1
"iTunes Store","Enticing D.I.Y. Nail Art by Yu-jin Choi","Yu-jin Choi","art design",9.21,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Das Kapital","Karl Marx","philosophy",NA,4.43,23,1867,"por",2025-11-01 09:00:00,1
"Open Library","Twelve years a slave","Solomon Northup","history",NA,4.55,9,1853,"fre",2025-11-01 09:00:00,1
"Open Library","Great Expectations","Charles Dickens","travel",NA,3.73,159,1861,"rus",2025-11-01 09:00:00,1
"iTunes Store","Songs of Travel","Robert Louis Stevenson","travel",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Story of the Amulet","Edith Nesbit","fiction",NA,3.58,9,1905,"fre",2025-11-01 09:00:00,1
"iTunes Store","Business Finance (Speedy Study Guides)","Speedy Publishing","business finance",3.1,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","Hard Times","Charles Dickens","science_fiction",NA,3.99,22,1854,"por",2025-11-01 09:00:00,1
"iTunes Store","A Valentine from Harlequin: Six Degrees of Romance","Nancy Warren, Catherine Spencer, Margaret Moore, Maggie Shayne, Michele Hauf & Christine Bell","romance novel",0,3.48,283,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Wonderful Wizard of Oz","L. Frank Baum","children",NA,3.94,124,1899,"bel",2025-11-01 09:00:00,1
"iTunes Store","Nonprofit Law & Finance Essentials e-book set","Bruce R. Hopkins, Thomas A. McLaughlin & Laurence Scot","business finance",47.26,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Warbreaker","Brandon Sanderson","fantasy",10.42,4.49,1622,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Finding: An Epic Fantasy Dragon Adventure","Jenna Elizabeth Johnson","adventure",0,4.47,310,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Tainted Cup","Robert Jackson Bennett","fantasy",13.08,4.51,485,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Philosophy in Minutes","Marcus Weeks","philosophy",2.98,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Killer Families: True Crime","SYLVIA PERRINI","true crime",0,3.94,625,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Paranormal True Crime Stories","Cindy Parmiter","true crime",3.01,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Story of Psychology","Morton Hunt","psychology",7.68,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Swingers Paradise Holiday - A First Time Multiple Partner Wife Sharing Wife Watching Open Marriage Outdoor Romance Novel","Karly Violet","romance novel",5.22,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Definitive Values Book. A Self-Help Guide To Assist You In Finding Better Morals, Principals, And Overall Standards For Yourself.","Devin Blue","self help",0,4.58,75,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Antarctica Travel Guide","Lonely Planet","travel",20.83,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","The Art of Travel","Alain de Botton","travel",11.45,4.1,40,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Art of War","孙武","sports",NA,4.16,157,1900,"fre",2025-11-01 09:00:00,1
"Open Library","The Legend of Sleepy Hollow","Washington Irving","travel",NA,4.13,24,1820,"gre",2025-11-01 09:00:00,1
"Open Library","Siddhartha","Hermann Hesse","philosophy",NA,4.05,60,1922,"guj",2025-11-01 09:00:00,1
"iTunes Store","Islamic Finance For Dummies","Faleel Jamaldeen","business finance",18.77,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","How to meditate","Lawrence L. LeShan","self_help",NA,4.98,1,1974,"eng",2025-11-01 09:00:00,1
"iTunes Store","Cloud Atlas (20th Anniversary Edition)","David Mitchell & Gabrielle Zevin","historical fiction",9.74,4.52,1283,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Lion, the Witch and the Wardrobe","C. S. Lewis","thriller",NA,4.07,121,1950,"ukr",2025-11-01 09:00:00,1
"iTunes Store","The Artisanal Kitchen: Barbecue Sides","Adam Perry Lang & Peter Kaminsky","art design",9.97,NA,NA,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Left Hand of Darkness","Ursula K. Le Guin","travel",NA,4.21,50,1969,"heb",2025-11-01 09:00:00,1
"iTunes Store","The Adventure of the Christmas Pudding","Agatha Christie","adventure",1.01,4.47,60,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Turn of the Screw","Henry James","art",NA,3.54,40,1898,"jpn",2025-11-01 09:00:00,1
"iTunes Store","Science Fiction Adventure Magazine: May 2010","Dale Cozort","science fiction",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Fantasy and Science Fiction Stories","Mikkell Khan","science fiction",0,NA,NA,NA,NA,2025-11-01 09:00:00,1
"iTunes Store","Cooking Up Trouble","Lenora Worth","cooking",3.84,4.06,448,NA,NA,2025-11-01 09:00:00,1
"Open Library","Blissful bites","Christy Morgan","cookbook",NA,NA,NA,2011,"eng",2025-11-01 09:00:00,1
"Open Library","Cyrano de Bergerac","Edmond Rostand","biography",NA,4.27,24,1821,"spa",2025-11-01 09:00:00,1
"Open Library","The Portrait of a Lady","Henry James","romance",NA,3.83,22,1881,"urd",2025-11-01 09:00:00,1
"iTunes Store","The Adventure of the ‘Western Star’","Agatha Christie","adventure",0.94,4.05,15,NA,NA,2025-11-01 09:00:00,1
"Open Library","The Lost Symbol","Dan Brown","mystery",NA,3.52,97,2009,"pol",2025-11-01 09:00:00,1
